Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,0.08942289399380449,0.057931835961848706,0.4852019994730961
0.025,0.0657305200711166,0.05435346102974239,0.4871522657652292
0.05,0.04513381684289483,0.04303502163855268,0.4892283159020203
0.075,0.0306660101617195,0.02967424616024637,0.4875338168472206
0.1,0.010879686052244878,0.025395435663261745,0.495608971200141
0.125,-0.0156880979872551,0.0192383583206469,0.5343271873568004
0.15,-0.04489877961734476,0.00408220885298456,0.5655877151436097
0.175,-0.07378568837068897,-0.006086959677049696,0.5504979026109381
0.2,-0.0976948609258593,0.0027847447475621147,0.5070962913925354
0.225,-0.11665197509015224,0.02102584858349215,0.46952012274833166
0.25,-0.13197599312755842,0.038016035031840555,0.4409744220856772
0.275,-0.14560901118855196,0.05175975427518821,0.4081632627760641
0.3,-0.16581202356572605,0.06263468374035468,0.37912227246245034
0.325,-0.1962212409328269,0.07191896408194311,0.35992710556818225
0.35,-0.23158879402792795,0.08723485949080619,0.3330710383981166
0.375,-0.25184613668983247,0.11429879441126,0.2930419623120803
0.4,-0.24617973632805346,0.15094672648532598,0.24124907415187363
0.425,-0.21389047541137635,0.1960937339902176,0.15800712664462022
0.45,-0.1659103550104531,0.24360153178341679,0.049866982088357964
0.475,-0.11564332372564842,0.28090932929345586,-0.061028771948756624
0.5,-0.06477608623256759,0.3132795281164746,-0.16176789011884823
0.525,-0.005670322101357457,0.34879161178570117,-0.24908026755832235
0.55,0.06113998937297599,0.3779404786876069,-0.3156995011304888
0.575,0.1285684059119096,0.39735673436605445,-0.35538076724285034
0.6,0.1899263733255029,0.4071357319340226,-0.3713169455338394
0.625,0.23491168865021622,0.4045315968750891,-0.38002966805238325
0.65,0.26171223142024563,0.3929779358887775,-0.3923091644934081
0.675,0.2786625153639299,0.3822665560127457,-0.403927846303094
0.7,0.28854487327140094,0.37777324350176,-0.40902498627431644
0.725,0.2896690254478125,0.3787799765303748,-0.4013436290364535
0.75,0.286480916948438,0.377168384467214,-0.38371537497853125
0.775,0.27510042497662374,0.37178467648797814,-0.36723466624077267
0.8,0.25230967725199804,0.36698925291632656,-0.36166501578578064
0.825,0.22712293046895554,0.356661862876453,-0.3572129412403696
0.85,0.21214069279384978,0.33170847186097424,-0.3452012440576624
0.875,0.21802635296579256,0.3019966695188018,-0.33894699091532926
0.9,0.2598153613515764,0.28666041327731523,-0.3383352840731702
0.925,0.34740188588760784,0.2753833950439503,-0.3009769911573971
0.95,0.44549731865183206,0.25031729785296697,-0.2207117455145834
0.975,0.5048494180365745,0.21971055617512925,-0.14850349932437898
1.0,0.50191708571516,0.22325629265926017,-0.15021544947529025
1.025,0.4658052670289552,0.2642917691433573,-0.245169838715399
1.05,0.43599390799744814,0.3043231909006954,-0.39355334340065656
1.075,0.41906376514173116,0.30569131265486865,-0.5136917705072758
1.1,0.3907572819994121,0.2562768253873844,-0.5447165211209458
1.125,0.3121016824179492,0.17629712183460872,-0.4963637934753131
1.15,0.15565190878331753,0.09768224771395215,-0.4384053716388479
1.175,-0.07868679339162092,0.0336858070697932,-0.4393806193744966
1.2,-0.3789451238942299,-0.022072502435123674,-0.5215268219898787
1.225,-0.7400243803685698,-0.06228004622335832,-0.6819122450898089
1.25,-1.1462574434909971,-0.09143981275916355,-0.903714375407838
1.275,-1.5741518800478056,-0.12212089826230417,-1.1503901797823723
1.3,-1.9966729099824956,-0.163483282895187,-1.403537505024544
1.325,-2.421310552399269,-0.2098903263087587,-1.6394743793268884
1.35,-2.8563454392527334,-0.24897437096221808,-1.8524784966675445
1.375,-3.2835546742458273,-0.29642539073461577,-2.046624080394534
1.4,-3.695500195639992,-0.3785385964025563,-2.1896198245259173
1.425,-4.118176302828654,-0.491116612470501,-2.2802863856820084
1.45,-4.5731014571257536,-0.6085764673301985,-2.3992107222632346
1.475,-5.015437456937482,-0.7246364337779453,-2.5916067033346444
1.5,-5.357353600314026,-0.8842781517762617,-2.769168892195636
1.525,-5.614195459003632,-1.1391900642679516,-2.761366843122429
1.55,-5.845949164656581,-1.4387285312991263,-2.504911691417985
1.575,-6.0283050646060445,-1.6769660032902578,-2.0929659768723927
1.6,-6.053872559392274,-1.7740512844967895,-1.7152418562009382
1.625,-5.855336125755998,-1.6946454239346143,-1.5992320351020277
1.65,-5.443087285268576,-1.4324270320859547,-1.8619620265497445
1.675,-4.93237856144773,-1.0444763782385746,-2.4531645038408594
1.7,-4.571047918859381,-0.6544247599320064,-3.22789116422793
1.725,-4.583790647701529,-0.37947663924585784,-4.0322172340762386
1.75,-4.960274254950467,-0.30375711435696345,-4.7747873739465785
1.775,-5.547107799460687,-0.4302390689278801,-5.3704811279323685
1.8,-6.177614307130593,-0.6540110297438496,-5.745118871135225
1.825,-6.691636901238398,-0.8422254391238818,-5.934600139511679
1.85,-6.98438486657946,-0.8970942955103899,-6.047300893813687
1.875,-7.042471718534693,-0.8132902767992093,-6.151976449860685
1.9,-6.962455647810771,-0.6515794987925848,-6.240468317370193
1.925,-6.854870912225066,-0.46402575869143653,-6.269507857032487
1.95,-6.751421621151744,-0.2773833805047781,-6.196726008883989
1.975,-6.624135775396184,-0.11380272217652833,-5.950085147964795
2.0,-6.437905737391847,-0.013174128741547496,-5.472628329126656
2.025,-6.181592012401557,0.005935491618489913,-4.771540780139125
2.05,-5.87515560719077,-0.039734393411261885,-3.9290419232601272
2.075,-5.533373606944391,-0.13385454753231887,-3.0562897393864366
2.1,-5.1409041152499455,-0.27060525052623424,-2.2200201908828765
2.125,-4.68545103258476,-0.43926919654933877,-1.4419170835377768
2.15,-4.237679960630013,-0.6086685259133403,-0.7248975879015773
2.175,-3.875558526088424,-0.7334896659328011,-0.06493245820193613
2.2,-3.521470553717821,-0.8059941574188217,0.5468239230843764
2.225,-3.0101392887594205,-0.8628901888009932,1.1863328410603484
2.25,-2.282835925578919,-0.9441223270463124,1.9877537920360708
2.275,-1.4672367665383546,-1.0725396806060261,2.9788467169911104
2.3,-0.69756462657662,-1.193401285943101,3.9969844734257785
2.325,0.01052927550029331,-1.2067510581545693,4.85039851091942
2.35,0.6278508449662865,-1.0628252996048264,5.411542043004488
2.375,1.140946897055796,-0.8304353597703308,5.650824206124523
2.4,1.5035188725395239,-0.6341109358385757,5.6877983963867935
2.425,1.6109042561368394,-0.523675998083394,5.664089730953733
2.45,1.3859728575067414,-0.4696354291771932,5.5817569703789465
2.475,0.7708478765889071,-0.42575954921988435,5.332645250827716
2.5,-0.20712625017507738,-0.35045255187808644,4.709718113821085
2.525,-1.3794215095743732,-0.21503992783632375,3.535494653261919
2.55,-2.5891459967859034,-0.027879129262872362,1.831721746201066
2.575,-3.8102073725939647,0.16700010580077146,-0.17337217377912073
2.6,-5.038418489090716,0.3393548151901534,-2.19403372765829
2.625,-6.251180462674443,0.4612831677659613,-3.97312167369429
2.65,-7.4824812213011835,0.5130938086300906,-5.2987279504353575
2.675,-8.755416457731176,0.5237709362991039,-6.114699355082644
2.7,-10.002355033367692,0.5293067878555241,-6.502223152460395
2.725,-11.115257622256836,0.5338423569871628,-6.665693710785586
2.75,-12.03722262121734,0.5105733932926988,-6.813369351223943
2.775,-12.75843486424038,0.45303652207364997,-7.050133108330807
2.8,-13.296136314886576,0.38587998955802594,-7.357005922044762
2.825,-13.699390074309427,0.35312932993333035,-7.692425439953411
2.85,-13.989456575030133,0.3557085805000136,-8.0338972068835
2.875,-14.088593851469536,0.35951385077197257,-8.301970701479503
2.9,-13.910380040376522,0.33746540276618475,-8.338948202398239
2.925,-13.466195592975657,0.22146077240149767,-8.0003168533441
2.95,-12.841866221652014,-0.0074728686217272345,-7.210537800339647
2.975,-12.058002061494776,-0.33376549680436796,-5.946299319450323
3.0,-11.138887434626755,-0.8382464855759154,-4.168531236047271
3.025,-10.169098426284206,-1.6170422028565647,-1.9110913002816836
3.05,-9.111551947470867,-2.55224993322296,0.5810421839597883
3.075,-7.932953306863567,-3.3076542027449247,2.781234285901332
3.1,-6.685961835742733,-3.61777226918536,4.202984153058689
3.125,-5.429218184361492,-3.501674639535976,4.713896429815303
3.15,-4.27250582602706,-3.2123534335767427,4.546839182131393
3.175,-3.5228921519158867,-2.99416431113321,4.07138978607675
3.2,-3.432507019714566,-2.90898880633043,3.6387195582713954
3.225,-3.8367095495861046,-2.888449695795422,3.4589989830436667
3.25,-4.3285935483861415,-2.8519956064513488,3.529779021324479
3.275,-4.66622241873448,-2.7526697888039395,3.754367932254587
3.3,-4.744588127703061,-2.5574663074763646,3.9860240092253663
3.325,-4.566915376553156,-2.2480097993771966,4.115602558086433
3.35,-4.214027981173411,-1.8609901773829218,4.170609729771417
3.375,-3.8011980983226574,-1.47499665855403,4.235578101392188
3.4,-3.398198649131632,-1.193240117408671,4.411355895958162
3.425,-3.021547749233025,-1.0910853035171015,4.801599225712791
3.45,-2.647406149106729,-1.1736822409419325,5.466218946127154
3.475,-2.2389080006833786,-1.4027213847206719,6.39141267053411
3.5,-1.7922529001768235,-1.6971182744153936,7.462406776071979
3.525,-1.329098098501086,-1.9813753095417042,8.505817728784509
3.55,-0.9101050588431963,-2.2121030551792997,9.328692388886473
3.575,-0.6537375601958261,-2.390680402464421,9.828610514513317
3.6,-0.5715752065142435,-2.54538677542621,9.99944093058383
3.625,-0.5496382880732997,-2.7471125092704765,9.96517808836379
3.65,-0.5514404087521159,-3.017041540441145,9.951447340992184
3.675,-0.627108353663963,-3.232158071861242,10.026534758229847
3.7,-0.7654904082295619,-3.242901253985122,10.04382170555202
3.725,-0.9411477512953407,-3.040184963883622,9.829865460808199
3.75,-1.155501422669849,-2.751745484639038,9.293562978879386
3.775,-1.4275266081066478,-2.5144134914113137,8.506671431145188
3.8,-1.8351534877468465,-2.358306796906594,7.623570749329552
3.825,-2.451109589257758,-2.202314039978555,6.700072966446405
3.85,-3.2976227003407064,-1.9645380694292396,5.651546961695365
3.875,-4.341523962756082,-1.6188975644978596,4.336674756239837
3.9,-5.495779408324654,-1.1969150157520136,2.704190671069334
3.925,-6.666291846723292,-0.7656895482713018,0.8318568118751077
3.95,-7.819807130096514,-0.38512622649324124,-1.1329846339491156
3.975,-8.990469814145783,-0.04597393362654916,-2.987265214470688
4.0,-10.2282324546901,0.27591701358486315,-4.480063810935479
4.025,-11.514939806758724,0.5942617527956393,-5.420833875062238
4.05,-12.725281969016297,0.9019638795095675,-5.820810383927443
4.075,-13.744167058442235,1.1547735289978798,-5.832956714718718
4.1,-14.544034864236334,1.3359102708902237,-5.774961950472314
4.125,-15.116588652678903,1.4575917586445764,-5.829277333183665
4.15,-15.487274374862878,1.537661491433072,-5.982684273777707
4.175,-15.679454879228874,1.5785532391322783,-6.173518421642312
4.2,-15.68433118535116,1.5379484523653606,-6.317595191734938
4.225,-15.464294384171362,1.3666076526691813,-6.347771694864733
4.25,-15.006175853148774,1.0925637307298377,-6.258627499144925
4.275,-14.316229863018352,0.7378706980783564,-5.934628755338661
4.3,-13.39607141526722,0.26162575511034963,-5.184448130343478
4.325,-12.263888733442203,-0.33485784281938696,-3.92475513830731
4.35,-10.92897723458729,-1.02295481473824,-2.2156937571469464
4.375,-9.467387477715281,-1.8377480988322306,-0.09210440249777892
4.4,-8.071711312468732,-2.7831570664481715,2.2430274842928326
4.425,-6.840755988928043,-3.680873447050127,4.403199475974233
4.45,-5.689089278950597,-4.278013174524313,6.012816801049569
4.475,-4.515617001027541,-4.447204640775278,6.856967940826289
4.5,-3.297950561659319,-4.263488242748465,6.957286170261072
4.525,-2.173429537189901,-3.933920220433691,6.582179499454408
4.55,-1.4641789945408867,-3.630652576203477,6.111956211203762
4.575,-1.3945220494247481,-3.390916390884269,5.829124805324413
4.6,-1.8167280646384953,-3.167651060384116,5.819567742734332
4.625,-2.4063753297672763,-2.922168533114932,6.007502064426032
4.65,-2.924420666861569,-2.633160397606216,6.255539916615767
4.675,-3.251130349567805,-2.287852551180566,6.457656050145391
4.7,-3.355861270178853,-1.9224098994355332,6.539711777608629
4.725,-3.2578194959378313,-1.588059721633503,6.510632886829025
4.75,-3.0329909347729287,-1.3120923384672722,6.477787017419946
4.775,-2.795032988384949,-1.1285509680591577,6.564495641102487
4.8,-2.58143398484886,-1.069245408306357,6.820374671742926
4.825,-2.3918351680331162,-1.1152666852590893,7.233335660766725
4.85,-2.2108116942668654,-1.2435890787070236,7.759629221050053
4.875,-1.9769052562834608,-1.455599538192713,8.350913980396445
4.9,-1.6565738645103616,-1.7225654989286685,8.93295858889348
4.925,-1.2592259543251845,-1.9815223970266063,9.412448798654163
4.95,-0.8601452268406556,-2.1844298675500418,9.72905112235942
4.975,-0.5504200454998444,-2.344752215849927,9.891397565470033
5.0,-0.34158085479863237,-2.500102481389435,9.960934412851222
5.025,-0.18219026198554147,-2.6899025849510694,10.099856885837058
5.05,-0.059336343382977025,-2.902792524255641,10.462680178938975
5.075,-0.012598108730881895,-3.081803980830096,11.041742670246036
5.1,-0.09823976534214912,-3.1647072711952045,11.59191868280561
5.125,-0.31335675076553177,-3.1071724460143972,11.721249141328864
5.15,-0.6524428459418863,-2.964975366247786,11.178031559758729
5.175,-1.14957524363541,-2.7586639891054654,10.003996992570368
5.2,-1.8213805606885456,-2.5216489323086853,8.472485654219602
5.225,-2.6184189949809946,-2.371813240988065,6.851077705566674
5.25,-3.510293454374698,-2.3264494271860308,5.353774692608242
5.275,-4.4972887058238245,-2.303906540404275,4.103316278919965
5.3,-5.562038835745932,-2.252663173309476,2.996201245712432
5.325,-6.651166795900724,-2.126076162144676,1.795981920388906
5.35,-7.708643746981462,-1.899094459389956,0.3721453335541973
5.375,-8.72981873906485,-1.5693667542522773,-1.2335696421790445
5.4,-9.748434068211106,-1.1587713095795416,-2.8564410463291243
5.425,-10.784481727275729,-0.7387592703045336,-4.280923030579541
5.45,-11.831708695613658,-0.38572994730549387,-5.359374012206721
5.475,-12.82307517238128,-0.13255758815480972,-6.101583918054912
5.5,-13.67750605849222,0.029670257766928172,-6.649871667463454
5.525,-14.326576363835672,0.1414829794146356,-7.121104383153711
5.55,-14.746789675717517,0.24797015617982118,-7.542839774220761
5.575,-14.988542789814229,0.3252080199384299,-7.889320719291636
5.6,-15.127496399938394,0.3295914718229917,-8.094230728562902
5.625,-15.162858956624362,0.2332917783282603,-8.067807707528262
5.65,-15.045168427787825,0.0020193701474290203,-7.7803042821051775
5.675,-14.771503331670143,-0.3709585571472563,-7.194909990712424
5.7,-14.370694568047186,-0.8688066961441596,-6.279364222235946
5.725,-13.840531014276175,-1.4495370532642289,-5.152379345935642
5.75,-13.119911227695676,-2.0022259948203276,-4.0206155938378805
5.775,-12.134989235517056,-2.4241479135573267,-2.943733206019405
5.8,-10.9514670324139,-2.7780395341512336,-1.8174061519800717
5.825,-9.6985161151586,-3.214823974977123,-0.44774731036112253
5.85,-8.474556113926488,-3.7865058564856886,1.2053936738928415
5.875,-7.385553748725686,-4.4332526636868375,2.949526712650349
5.9,-6.456678527700071,-4.9989256344980335,4.588728237630949
5.925,-5.5362245676825,-5.340618618298342,5.888711926108092
5.95,-4.413243309355703,-5.4269770293216135,6.619581322672841
5.975,-3.081884380597911,-5.290069516416041,6.6824274953879375
6.0,-1.8466084224704669,-4.943928800937659,6.246540615851258
6.025,-1.1351564499038538,-4.407074886455202,5.720880371476652
6.05,-0.9908137012123877,-3.7795169271185367,5.405710879522138
6.075,-1.049496570420473,-3.2375348549947,5.311780057719469
6.1,-1.0581368337307695,-2.867158140486487,5.419010155790429
6.125,-0.9932774531264081,-2.5880231306119446,5.863464471736506
6.15,-0.8456990847154439,-2.3162995196907294,6.683497956634503
